Pabrik,Tahun,Tipe,Pintu,Kursi,CC,Daerah,Harga
Daihatsu,2014-2018,Manual,5,2,1298,Luar Jakarta,85000000
Daihatsu,2014-2018,Manual,5,2,1298,Jakarta,97000000
Daihatsu,2014-2018,Manual,5,2,1298,Luar Jakarta,89000000
Daihatsu,2014-2018,Manual,5,2,1298,Luar Jakarta,93000000
Daihatsu,2014-2018,Manual,5,2,1298,Luar Jakarta,125000000
Daihatsu,2019-2023,Manual,2,3,1298,Jakarta,125000000
Suzuki,2019-2023,Manual,2,3,1462,Luar Jakarta,107000000
Suzuki,2019-2023,Manual,2,3,1462,Luar Jakarta,118000000
Suzuki,2019-2023,Manual,2,3,1462,Luar Jakarta,111000000
Suzuki,2019-2023,Manual,2,3,1462,Luar Jakarta,111000000
Suzuki,2019-2023,Manual,2,3,1462,Luar Jakarta,124000000
Mitsubishi,2014-2018,Manual,2,3,1468,Luar Jakarta,79000000
Mitsubishi,2014-2018,Manual,2,3,1468,Jakarta,77500000
Suzuki,2019-2023,Manual,2,3,1493,Jakarta,94000000
Daihatsu,2019-2023,Manual,2,3,1495,Jakarta,114500000
Daihatsu,2019-2023,Manual,2,3,1495,Jakarta,135000000
Suzuki,2019-2023,Manual,5,4,998,Jakarta,130000000
Suzuki,2019-2023,Automatic,5,4,998,Jakarta,145000000
Daihatsu,2019-2023,Manual,5,5,996,Luar Jakarta,188000000
Daihatsu,2019-2023,Manual,5,5,996,Luar Jakarta,190000000
Toyota,2019-2023,Automatic,5,5,996,Luar Jakarta,215000000
Daihatsu,2019-2023,Automatic,5,5,996,Jakarta,220000000
Toyota,2019-2023,Automatic,5,5,996,Luar Jakarta,222000000
Toyota,2019-2023,Automatic,5,5,996,Jakarta,227000000
Toyota,2019-2023,Automatic,5,5,996,Jakarta,230000000
Toyota,2019-2023,Automatic,5,5,996,Jakarta,230000000
Toyota,2019-2023,Automatic,5,5,996,Luar Jakarta,231000000
Toyota,2019-2023,Automatic,5,5,996,Luar Jakarta,231000000
Daihatsu,2019-2023,Automatic,5,5,996,Jakarta,215000000
Toyota,2019-2023,Automatic,5,5,996,Jakarta,220000000
Toyota,2019-2023,Automatic,5,5,996,Luar Jakarta,250000000
Toyota,2014-2018,Manual,5,5,998,Luar Jakarta,87000000
Daihatsu,2014-2018,Automatic,5,5,998,Luar Jakarta,97000000
Toyota,2014-2018,Manual,5,5,998,Jakarta,103000000
Toyota,2014-2018,Automatic,5,5,998,Jakarta,87000000
Toyota,2014-2018,Automatic,5,5,998,Jakarta,87000000
Daihatsu,2014-2018,Manual,5,5,998,Luar Jakarta,89000000
Toyota,2014-2018,Manual,5,5,998,Luar Jakarta,90000000
Toyota,2014-2018,Manual,5,5,998,Jakarta,90000000
